label,review
Negatif,"Kena tipu sama POCO! Gk konsisten sama ucapannya pas launching! Padahal harga Early Bird belum berakhir/ masih berlaku,,! tapi harga udah normal aj/ udah naik aj! Alhasil saya rugi 200 ribu! Yg harusnya 4,3 juta,, jadi 4,5 juta! 4,5 JT mending beli Redmi Note 12 Pro 5G sekalian! Dapet Dimensity 1080!"
Negatif,HP nya ga ngebaca SIM card. Padahal sim card di taro di hp lain kebaca. Saya komplain ga ditanggapi. Jelek bgt barangnya ga bisa baca sim card!
Negatif,Diubah setelah pemakaian hampir satu bulan hp sangat lemot bahkan untuk wa saja sering error. Tidak sesuai harga. Percuma. Tolong diperbaiki lagi kualitasnya. Yg beli mikir2 aja dulu tambahin uangnya maaf seller. harus jujur agar yg lain g nyesel🙏
Negatif,"HP Baru udah ngga ada suaranya, di chat nyaranin di balikin, pas udah di balikin malah di tolak sepihak dan malah suruh pergi ke servis center, ternyata kena ic audio nya kalo servis center padahal di kota aku ngga ada SC infinix, kalo di cek di servis hp lain juga abis 300an pantes aja di tolak ga mau rugi ternyata toko ini, kalo hp rusak ngga usah di kirim donk kalo ngga mau tanggung jawab, baru kali ini belanja di official nya lngsung tapi model ny kaya gini ngg jamin, pikiri pikir lagi deh belanja d sini lagi"
Negatif,"Sayang bgtt...Fitur gyroscope di infinix hot 30 delay nya kerasa. Pengalaman main game dengan gyro jdi gada. Kemarin coba ke Carlcare yg ada di plasa mall simpang lima semarang buat nanya fitur gyroscope yg ada di hot 30 ini. Eh sampai sana cuma difactory reset doang dan hasilnya nihil, tetep delay tu gyroscope. Malah masnya nyuruh ntuk cari hp seri yg sama untuk dicompare terkait gyroscopenya. Aelahh mengecewakan aslii :(("
Negatif,"Spesifikasi tidak selaras dgn performa, ui, interface. lebih baik belo xiaomi dikelasnya👍 Pelayanan tdk baik, claim garansi/pengembalian hanya pemanis, aslinya tidak ditanggapi, padahal sudah memenuhi skb. Sekali lg untuk yg belum beli, lebih baik pilih xiaomi di kelasnya, terimakasih.."
Negatif,"Speknya hanya gimik main Mobile legend lag parah padahal udh distell ke paling low msh aja lag tolong dong kalo bisa dituker aja dah nyesel beli infinix hot 20 5G,tolong jgn dibeli dr pd nyesel gua liat yt direviewnya bagus"" tp gak sebagus itu hanya gimik,percuma cover depan mobile legend tp lag parah habis"
Negatif,"ni HP paling edna yg pernah saya beli di Shopee.. Eror. Gak bener ini HP nya.. Gimana dong.. Gak bisa dipake nih.. Layar udah disentuh berkali2 tetep diem gak ada kelanjutan, hanya getar2 terus.. "
Negatif,"Hp baru dipake 3 hari udah ngehang ga jelas kedap kedip, di komplen suruh return pas udah return di tolak kocak banget, sengaja ngasih barang rusak kali yah!!! Dikata org beli pake daon kali 😡😡"
positif,"Cuma mau bilang 1 kata untuk HP ini ""The best low phone"", ini HP dibawah 1 jt an paling worth it dibeli, mau jadi daily atau secondary penggunaan, masih cocok kok, apalagi ram nya lumayan gede 4+4 GB, battery bisa bertahan dari pagi hingga sore cuma buat yutub, itu pun masih ada sisa, mantap masih, 5000 mAh. Untuk gaming masih bisa di low class aja, sesuai tipe hpnya, Minusnya, terkadang cenderung agak ngeleg pas scroll media. Untuk performa kamera ini yang paling aku suka, murni jernih banget( bisa liat di contoh), emang the best banget nih Itel phone👍"
positif,"Dengan harga sejutaan, hape xiaomi redmi a2 ini lumayan banget, aplg ini kado untuk ortu yg memang hanya menggunakan sebagian aplikasi saja seperti whatsapp, youtube, cookpad, dll. Overall pengiriman sameday, cepat dan amanah. Thankyou Xiaomi!🫶"
positif,Untuk fitur tampilan sihh bagus.. menu alikasi y menarik . Kamera oke. Speaker juga oke.. ramah dikantong. Udh ke 4 x nya belanja d official y. Gak prnh mngecewakan sihh. Semoga nnti klo blnja lagi kasihh tambhan bonus 😁. Sukses buat toko y
positif,"Layar jernih, tajam dan smooth karena sdh 120hz, speaker stereo dan balance Ngga nyesel dah belinya."
positif,Dengan fitur yg terdapat di seri ini rasanya untuk harga yg ditawarkan rasanya cukup murah karena dibandingkan dengan merk lain dengan fitur yg mendekati harganya sudah jauh diatasnya. Buat Xiaomi official store terima kasih karena sudah memberikan pelayanan yg terbaik serta untuk ekspedisi juga luar biasa. Tks🙏
positif,Hpnya bagus performa kenceng kamera belakang juga ok detailnya dapet.. Dan udah 5g cuman minusnya batere agak boros dan jangkauan wifi kurang jauh
positif,"Minusnya colokan casan gaa nyalan+kabelnya+ Batrenya boros, buat barangnya like pisan kerenn sisanya semuah sesua gaa ada minus lagi"
positif,"pengemasan dan pengiriman gercepp bangettt, pake sameday krn sesama sby. order tgl 8 juli jam set 12 malem, jam 2 pagi uda diserahin kurir, tgl 9 jam 12an siang uda sampe rmh. cmn butuh 12 jam aja buat order sampe barangnya dateng, amajing 😍 spek hp uda ga perlu diragukan lagi, banyak review digugel dan utube. yg jelas kameranyaa top bgt krn pake sensor sony. akhirnyaa aku menemukan yg sepadan sama poco x3 nfc ku dalam segi kamera 😘"
positif,Suka sekali produk redmi. Kameranya yg ini puas banget. Baterai tahan lama. Sy punya redmi note 10 pro dan note 11 pro 5g sampe skr jg masih awet. Harga jg masih cocok dikantong. Pengiriman dan pengemasan baik.
positif,Xiaomi Performa Dan harga selalu mantap. Pas banget harga segini dapet rom 256 GB. Sukses selalu seller.
positif,HP nya original dan mulus. Ya wajar sih kan masih segel wkwk. Bagus warnanya. Semoga sepupu ku suka. Aku beliin sepupu ajasih sebenarnya. Pengiriman cepat gak delay terlalu lama.
positif,"Produknya original, layarnya nggak jelek tapi nggak terlalu bagus juga, sedang lha ya kalau dipakai hanya untuk nonton, enak-enak aja sih, (btw nggak ngedukung 4k kalau mutar video di youtube) walaupun respon penjual cukup lama tapi tetap dilayani juga. Saran kedepannya mungkin kalau packing barang dusnya dilapis bubble wrap aja, apalagi kalau ke luar pulau kayak saya gitu kan ngeri-ngeri sedap takut layarnya pecah. Dus paket saya sampingnya sampe penyek lho dibuat ekspedisi sicepat, alhasil dus tabletnya sedikit penyok bagian samping."
